repo,file,url
mesolitica/malaysian-dataset,corpus/toxicity-large/notebook/populate-kaum.ipynb,https://github.com/mesolitica/malaysian-dataset/blob/297ebe60c9c2a55c9f8b760a71ba3bad2ff09859/corpus/toxicity-large/notebook/populate-kaum.ipynb
cahya-wirawan/indonesian-language-models,Transformers/Tasks/IndoBenchmark/FacQA.ipynb,https://github.com/cahya-wirawan/indonesian-language-models/blob/f7eef489faa3425741d749298da9c7d025acd3ea/Transformers/Tasks/IndoBenchmark/FacQA.ipynb
IndoNLP/cendol,evaluation/local_prompt_gen.ipynb,https://github.com/IndoNLP/cendol/blob/a34d590f1c7b82538cf0139eedb09b1b04382c0d/evaluation/local_prompt_gen.ipynb
FuadHamdiBahar/Eksplorasi-Data,50. One Hot.ipynb,https://github.com/FuadHamdiBahar/Eksplorasi-Data/blob/f4c415635c1cc4f1ab049792e83a5e47665eedf6/50.%20One%20Hot.ipynb
Olionnn/nlp-llm-langchain,tokenize.ipynb,https://github.com/Olionnn/nlp-llm-langchain/blob/6d39695b4991eb2ed8737ccd2b338ce745aa0737/tokenize.ipynb
taudataanalytics/taudata-Academy,dm-12.ipynb,https://github.com/taudataanalytics/taudata-Academy/blob/a7b4db94b234d765cdd95e7cdbabea4aa4b5a3c1/dm-12.ipynb
mvallet91/SmartPub-TSENER,.ipynb_checkpoints/WWW2018-checkpoint.ipynb,https://github.com/mvallet91/SmartPub-TSENER/blob/768459e5ef42e18c64809c94bea500903d4b4a88/.ipynb_checkpoints/WWW2018-checkpoint.ipynb
tafaquh/lda-try-english,lda-try-eng.ipynb,https://github.com/tafaquh/lda-try-english/blob/bf0b7d66024e8e223f1b7a0a0f4021106fc6bef7/lda-try-eng.ipynb
tonimurfid/ASR_Arten,Backup/Untitled-1.ipynb,https://github.com/tonimurfid/ASR_Arten/blob/1754dbb54275300d412197141776c3565a075e73/Backup/Untitled-1.ipynb
dadandw/web_scraping_berita,scraping.ipynb,https://github.com/dadandw/web_scraping_berita/blob/40da7917bc30caa922a0d203b1b8e30b9f009641/scraping.ipynb
Giant77/indonesian-news-NER,notebook.ipynb,https://github.com/Giant77/indonesian-news-NER/blob/07880c5a173ea90299a4bb744ad5127572f54cf2/notebook.ipynb
wal-03/CapStone-Project-1-Data-Mining,CapStone_01_EDA.ipynb,https://github.com/wal-03/CapStone-Project-1-Data-Mining/blob/26abec13459dcf4b078aa3dd88badbeb7f21f8cb/CapStone_01_EDA.ipynb
brayanfz013/tecnical_test,src/notebooks/03_cv_parser.ipynb,https://github.com/brayanfz013/tecnical_test/blob/a2bb6bbb5a0dc86b99ec188495bbd33d5db19357/src/notebooks/03_cv_parser.ipynb
SyahrulApr86/IR-Gasal-2324,TEP2/TEP_2_Mahasiswa.ipynb,https://github.com/SyahrulApr86/IR-Gasal-2324/blob/b4ea7ac68109fe6dabcc61d1e8975d725606e940/TEP2/TEP_2_Mahasiswa.ipynb
hanss27/dl-ml-project,Proyek_Akhir_Dicoding.ipynb,https://github.com/hanss27/dl-ml-project/blob/7256140a3c3ca34c30f356643ae7de60fe92263b/Proyek_Akhir_Dicoding.ipynb
AneKazek/dac-ifest-competition,tes.ipynb,https://github.com/AneKazek/dac-ifest-competition/blob/60338b1084060feb82fdc4436eebf4c8612f5fb4/tes.ipynb
hrjuno/NLP_with_HF_Transformers,hugging_face_transformers.ipynb,https://github.com/hrjuno/NLP_with_HF_Transformers/blob/9ac1b202e9a3f98b634e24f2ce0fbc00bce1a2ec/hugging_face_transformers.ipynb
aldenluthfi/kuliahluthfi,Semester 5 (Depresi Musiman)/Tugas/KASDD/KASDD - LAB 1 - ALDEN LUTHFI - 2206028932.ipynb,https://github.com/aldenluthfi/kuliahluthfi/blob/ea1662b757c74a41d5c0d0443849167133fd3a12/Semester%205%20(Depresi%20Musiman)/Tugas/KASDD/KASDD%20-%20LAB%201%20-%20ALDEN%20LUTHFI%20-%202206028932.ipynb
adefiqri12/BI-Hackathon,scripts/article/scraping_news.ipynb,https://github.com/adefiqri12/BI-Hackathon/blob/75348ee2c866438537559ce308d57319de793bfc/scripts/article/scraping_news.ipynb
bhumong/ai-bootcamp,learn/08_langchain/02_intro_to_langchain-generated.ipynb,https://github.com/bhumong/ai-bootcamp/blob/a730fce95c7352145ce1f305cb85edf6ffdd4978/learn/08_langchain/02_intro_to_langchain-generated.ipynb
codenameLontong/JeremyMervin-Portofolio,Python Data Analysis/Introduction.ipynb,https://github.com/codenameLontong/JeremyMervin-Portofolio/blob/f3412de603690fe8fc0dac93558acbe3eb97402c/Python%20Data%20Analysis/Introduction.ipynb
fadeldnswr/rental-bike-analysis,Bike Sharing Data Science Project.ipynb,https://github.com/fadeldnswr/rental-bike-analysis/blob/c179cc5882d5d8ee3edf3869ef76f6459f6acb75/Bike%20Sharing%20Data%20Science%20Project.ipynb
rinogrego/Learning-LLM,explorations/LlamaIndex-Exploration.ipynb,https://github.com/rinogrego/Learning-LLM/blob/2e9feee401a51b69a352cade6035ba15767362e2/explorations/LlamaIndex-Exploration.ipynb
Nursia/AnalisisSentimen_IKN,Slang_id_taudata.ipynb,https://github.com/Nursia/AnalisisSentimen_IKN/blob/5c80f02dd220ecda35606fe56c451a9f666451f0/Slang_id_taudata.ipynb
TheSecret3003/KPK-IE,string_distance_levenshtein/Exp 1a-2b.ipynb,https://github.com/TheSecret3003/KPK-IE/blob/a91629284898b8103b52d7ee059ad65cd35da1f5/string_distance_levenshtein/Exp%201a-2b.ipynb
yosiasm/Tender_Analytic,Analisa/.ipynb_checkpoints/DASH-checkpoint.ipynb,https://github.com/yosiasm/Tender_Analytic/blob/c806f16fc7fe971b6b255a852dd6d144158b9a50/Analisa/.ipynb_checkpoints/DASH-checkpoint.ipynb
ahmadnafi30/demo_sentiment_analisys,notebooks/training.ipynb,https://github.com/ahmadnafi30/demo_sentiment_analisys/blob/0b8d06651a044e311b0ae929bfa39e163805ee73/notebooks/training.ipynb
aansubarkah/basangdata_pandas,analisa-sentimen-data-twitter/analisa-sentimen.ipynb,https://github.com/aansubarkah/basangdata_pandas/blob/2af8b13d5cb12877a493d017196c754fe72911dd/analisa-sentimen-data-twitter/analisa-sentimen.ipynb
benthomo17/DataAnalytics,2020 Indonesia University Rank.ipynb,https://github.com/benthomo17/DataAnalytics/blob/ba5659dfa9eddd726a909b9ac21e9a39c6ad0ddc/2020%20Indonesia%20University%20Rank.ipynb
